allele_name	gene_family	consensus_gene_name	consensus_product	threshold	alleles_at_maximum_threshold	number_genomes	average_dose	min_dose	max_dose	genomes_containing_fissions	genomes_containing_duplications	number_fission_loci	number_duplicated_loci	no_loci	products	gene_names	min_length(bp)	max_length(bp)	average_length(bp)	cluster	cluster_order	GCA_029747675_1_ASM2974767v1_genomic	GCA_029747785_1_ASM2974778v1_genomic	GCA_029747985_1_ASM2974798v1_genomic	GCA_029952765_1_ASM2995276v1_genomic	GCA_030235225_1_ASM3023522v1_genomic	GCA_030235235_1_ASM3023523v1_genomic	GCA_030235265_1_ASM3023526v1_genomic	GCA_030235285_1_ASM3023528v1_genomic	GCA_030235295_1_ASM3023529v1_genomic	GCA_030235325_1_ASM3023532v1_genomic	GCA_030235345_1_ASM3023534v1_genomic	GCA_030235365_1_ASM3023536v1_genomic	GCA_030235385_1_ASM3023538v1_genomic	GCA_030235405_1_ASM3023540v1_genomic	GCA_030235425_1_ASM3023542v1_genomic	GCA_030235435_1_ASM3023543v1_genomic	GCA_030235465_1_ASM3023546v1_genomic	GCA_030235485_1_ASM3023548v1_genomic	GCA_030235505_1_ASM3023550v1_genomic	GCA_030235545_1_ASM3023554v1_genomic	GCA_030239725_1_ASM3023972v1_genomic	GCA_030239765_1_ASM3023976v1_genomic	GCA_030239785_1_ASM3023978v1_genomic	GCA_030239805_1_ASM3023980v1_genomic	GCA_030239825_1_ASM3023982v1_genomic	GCA_030239835_1_ASM3023983v1_genomic	GCA_030239865_1_ASM3023986v1_genomic	GCA_030239885_1_ASM3023988v1_genomic	GCA_030239895_1_ASM3023989v1_genomic	GCA_030239925_1_ASM3023992v1_genomic	GCA_030239935_1_ASM3023993v1_genomic	GCA_030239965_1_ASM3023996v1_genomic	GCA_030239985_1_ASM3023998v1_genomic	GCA_030240005_1_ASM3024000v1_genomic	GCA_030240015_1_ASM3024001v1_genomic	GCA_030240025_1_ASM3024002v1_genomic	GCA_030240065_1_ASM3024006v1_genomic	GCA_030240085_1_ASM3024008v1_genomic	GCA_030240105_1_ASM3024010v1_genomic	GCA_030240125_1_ASM3024012v1_genomic	GCA_030240135_1_ASM3024013v1_genomic	GCA_030240165_1_ASM3024016v1_genomic	GCA_030240185_1_ASM3024018v1_genomic
g00880_00006	g00880	NA	aminodeoxychorismate lyase	98	1	43	1	1	1	0	0	0	0	43	aminodeoxychorismate lyase(43)	NA(43)	873	873	873.00	1	13	CKFBNF_03175	PDKELN_03060	LKGPGJ_03080	NHAIDG_08640	JJKLOM_08580	KLBIAF_06745	PKJNML_02475	BJCJFD_07395	CJEPLJ_03960	NCGJEB_01855	FNBPHI_03635	AJPFBF_05885	IONAJF_07455	HDDGPA_06995	LGAECN_10560	KBFPKB_04010	NOBNEL_02450	BKGCNC_07135	DDPEJL_07600	CFCNNG_07615	LOBFBJ_06705	HJCBJE_04790	BDBJLG_08200	FMMFDJ_10375	GKNDCE_06950	FDHOFG_07175	CEFCCI_09100	KMLEIH_08140	NDPNHO_07835	OIKCCF_07640	EFBKIP_06515	CONBLF_08930	IAMNGM_08065	OCDEKD_02785	ABIDKG_08725	FIMDAF_09905	CNHFKG_11595	KGMBGA_05445	MLFLFD_04460	JAJJBD_02400	NOAGLL_00905	GHNCNC_03140	FPFKPL_01015
g00412_00006	g00412	NA	30S ribosomal protein S10	98	1	43	1	1	1	0	0	0	0	43	30S ribosomal protein S10(43)	NA(43)	312	312	312.00	1	14	CKFBNF_03180	PDKELN_03065	LKGPGJ_03085	NHAIDG_08635	JJKLOM_08575	KLBIAF_06740	PKJNML_02480	BJCJFD_07400	CJEPLJ_03965	NCGJEB_01860	FNBPHI_03630	AJPFBF_05880	IONAJF_07460	HDDGPA_07000	LGAECN_10565	KBFPKB_04005	NOBNEL_02445	BKGCNC_07140	DDPEJL_07595	CFCNNG_07610	LOBFBJ_06700	HJCBJE_04795	BDBJLG_08205	FMMFDJ_10380	GKNDCE_06955	FDHOFG_07180	CEFCCI_09105	KMLEIH_08135	NDPNHO_07830	OIKCCF_07635	EFBKIP_06510	CONBLF_08935	IAMNGM_08070	OCDEKD_02790	ABIDKG_08720	FIMDAF_09910	CNHFKG_11590	KGMBGA_05440	MLFLFD_04455	JAJJBD_02395	NOAGLL_00910	GHNCNC_03145	FPFKPL_01020
g00139_00006	g00139	NA	50S ribosomal protein L3	98	1	43	1	1	1	0	0	0	0	43	50S ribosomal protein L3(43)	NA(43)	660	660	660.00	1	15	CKFBNF_03185	PDKELN_03070	LKGPGJ_03090	NHAIDG_08630	JJKLOM_08570	KLBIAF_06735	PKJNML_02485	BJCJFD_07405	CJEPLJ_03970	NCGJEB_01865	FNBPHI_03625	AJPFBF_05875	IONAJF_07465	HDDGPA_07005	LGAECN_10570	KBFPKB_04000	NOBNEL_02440	BKGCNC_07145	DDPEJL_07590	CFCNNG_07605	LOBFBJ_06695	HJCBJE_04800	BDBJLG_08210	FMMFDJ_10385	GKNDCE_06960	FDHOFG_07185	CEFCCI_09110	KMLEIH_08130	NDPNHO_07825	OIKCCF_07630	EFBKIP_06505	CONBLF_08940	IAMNGM_08075	OCDEKD_02795	ABIDKG_08715	FIMDAF_09915	CNHFKG_11585	KGMBGA_05435	MLFLFD_04450	JAJJBD_02390	NOAGLL_00915	GHNCNC_03150	FPFKPL_01025
g00234_00006	g00234	NA	50S ribosomal protein L4	98	1	43	1	1	1	0	0	0	0	43	50S ribosomal protein L4(43)	NA(43)	702	702	702.00	1	16	CKFBNF_03190	PDKELN_03075	LKGPGJ_03095	NHAIDG_08625	JJKLOM_08565	KLBIAF_06730	PKJNML_02490	BJCJFD_07410	CJEPLJ_03975	NCGJEB_01870	FNBPHI_03620	AJPFBF_05870	IONAJF_07470	HDDGPA_07010	LGAECN_10575	KBFPKB_03995	NOBNEL_02435	BKGCNC_07150	DDPEJL_07585	CFCNNG_07600	LOBFBJ_06690	HJCBJE_04805	BDBJLG_08215	FMMFDJ_10390	GKNDCE_06965	FDHOFG_07190	CEFCCI_09115	KMLEIH_08125	NDPNHO_07820	OIKCCF_07625	EFBKIP_06500	CONBLF_08945	IAMNGM_08080	OCDEKD_02800	ABIDKG_08710	FIMDAF_09920	CNHFKG_11580	KGMBGA_05430	MLFLFD_04445	JAJJBD_02385	NOAGLL_00920	GHNCNC_03155	FPFKPL_01030
g00662_00006	g00662	NA	50S ribosomal protein L23	98	1	43	1	1	1	0	0	0	0	43	50S ribosomal protein L23(43)	NA(43)	312	312	312.00	1	17	CKFBNF_03195	PDKELN_03080	LKGPGJ_03100	NHAIDG_08620	JJKLOM_08560	KLBIAF_06725	PKJNML_02495	BJCJFD_07415	CJEPLJ_03980	NCGJEB_01875	FNBPHI_03615	AJPFBF_05865	IONAJF_07475	HDDGPA_07015	LGAECN_10580	KBFPKB_03990	NOBNEL_02430	BKGCNC_07155	DDPEJL_07580	CFCNNG_07595	LOBFBJ_06685	HJCBJE_04810	BDBJLG_08220	FMMFDJ_10395	GKNDCE_06970	FDHOFG_07195	CEFCCI_09120	KMLEIH_08120	NDPNHO_07815	OIKCCF_07620	EFBKIP_06495	CONBLF_08950	IAMNGM_08085	OCDEKD_02805	ABIDKG_08705	FIMDAF_09925	CNHFKG_11575	KGMBGA_05425	MLFLFD_04440	JAJJBD_02380	NOAGLL_00925	GHNCNC_03160	FPFKPL_01035
g00126_00006	g00126	NA	50S ribosomal protein L2	98	1	43	1	1	1	0	0	0	0	43	50S ribosomal protein L2(43)	NA(43)	837	837	837.00	1	18	CKFBNF_03200	PDKELN_03085	LKGPGJ_03105	NHAIDG_08615	JJKLOM_08555	KLBIAF_06720	PKJNML_02500	BJCJFD_07420	CJEPLJ_03985	NCGJEB_01880	FNBPHI_03610	AJPFBF_05860	IONAJF_07480	HDDGPA_07020	LGAECN_10585	KBFPKB_03985	NOBNEL_02425	BKGCNC_07160	DDPEJL_07575	CFCNNG_07590	LOBFBJ_06680	HJCBJE_04815	BDBJLG_08225	FMMFDJ_10400	GKNDCE_06975	FDHOFG_07200	CEFCCI_09125	KMLEIH_08115	NDPNHO_07810	OIKCCF_07615	EFBKIP_06490	CONBLF_08955	IAMNGM_08090	OCDEKD_02810	ABIDKG_08700	FIMDAF_09930	CNHFKG_11570	KGMBGA_05420	MLFLFD_04435	JAJJBD_02375	NOAGLL_00930	GHNCNC_03165	FPFKPL_01040
g00010_00006	g00010	NA	30S ribosomal protein S19	98	1	43	1	1	1	0	0	0	0	43	30S ribosomal protein S19(43)	NA(43)	282	282	282.00	1	19	CKFBNF_03205	PDKELN_03090	LKGPGJ_03110	NHAIDG_08610	JJKLOM_08550	KLBIAF_06715	PKJNML_02505	BJCJFD_07425	CJEPLJ_03990	NCGJEB_01885	FNBPHI_03605	AJPFBF_05855	IONAJF_07485	HDDGPA_07025	LGAECN_10590	KBFPKB_03980	NOBNEL_02420	BKGCNC_07165	DDPEJL_07570	CFCNNG_07585	LOBFBJ_06675	HJCBJE_04820	BDBJLG_08230	FMMFDJ_10405	GKNDCE_06980	FDHOFG_07205	CEFCCI_09130	KMLEIH_08110	NDPNHO_07805	OIKCCF_07610	EFBKIP_06485	CONBLF_08960	IAMNGM_08095	OCDEKD_02815	ABIDKG_08695	FIMDAF_09935	CNHFKG_11565	KGMBGA_05415	MLFLFD_04430	JAJJBD_02370	NOAGLL_00935	GHNCNC_03170	FPFKPL_01045
g00037_00006	g00037	NA	50S ribosomal protein L22	98	1	43	1	1	1	0	0	0	0	43	50S ribosomal protein L22(43)	NA(43)	486	486	486.00	1	20	CKFBNF_03210	PDKELN_03095	LKGPGJ_03115	NHAIDG_08605	JJKLOM_08545	KLBIAF_06710	PKJNML_02510	BJCJFD_07430	CJEPLJ_03995	NCGJEB_01890	FNBPHI_03600	AJPFBF_05850	IONAJF_07490	HDDGPA_07030	LGAECN_10595	KBFPKB_03975	NOBNEL_02415	BKGCNC_07170	DDPEJL_07565	CFCNNG_07580	LOBFBJ_06670	HJCBJE_04825	BDBJLG_08235	FMMFDJ_10410	GKNDCE_06985	FDHOFG_07210	CEFCCI_09135	KMLEIH_08105	NDPNHO_07800	OIKCCF_07605	EFBKIP_06480	CONBLF_08965	IAMNGM_08100	OCDEKD_02820	ABIDKG_08690	FIMDAF_09940	CNHFKG_11560	KGMBGA_05410	MLFLFD_04425	JAJJBD_02365	NOAGLL_00940	GHNCNC_03175	FPFKPL_01050
g00284_00006	g00284	NA	30S ribosomal protein S3	98	1	43	1	1	1	0	0	0	0	43	30S ribosomal protein S3(43)	NA(43)	819	819	819.00	1	21	CKFBNF_03215	PDKELN_03100	LKGPGJ_03120	NHAIDG_08600	JJKLOM_08540	KLBIAF_06705	PKJNML_02515	BJCJFD_07435	CJEPLJ_04000	NCGJEB_01895	FNBPHI_03595	AJPFBF_05845	IONAJF_07495	HDDGPA_07035	LGAECN_10600	KBFPKB_03970	NOBNEL_02410	BKGCNC_07175	DDPEJL_07560	CFCNNG_07575	LOBFBJ_06665	HJCBJE_04830	BDBJLG_08240	FMMFDJ_10415	GKNDCE_06990	FDHOFG_07215	CEFCCI_09140	KMLEIH_08100	NDPNHO_07795	OIKCCF_07600	EFBKIP_06475	CONBLF_08970	IAMNGM_08105	OCDEKD_02825	ABIDKG_08685	FIMDAF_09945	CNHFKG_11555	KGMBGA_05405	MLFLFD_04420	JAJJBD_02360	NOAGLL_00945	GHNCNC_03180	FPFKPL_01055
g00672_00006	g00672	NA	50S ribosomal protein L16	98	1	43	1	1	1	0	0	0	0	43	50S ribosomal protein L16(43)	NA(43)	420	420	420.00	1	22	CKFBNF_03220	PDKELN_03105	LKGPGJ_03125	NHAIDG_08595	JJKLOM_08535	KLBIAF_06700	PKJNML_02520	BJCJFD_07440	CJEPLJ_04005	NCGJEB_01900	FNBPHI_03590	AJPFBF_05840	IONAJF_07500	HDDGPA_07040	LGAECN_10605	KBFPKB_03965	NOBNEL_02405	BKGCNC_07180	DDPEJL_07555	CFCNNG_07570	LOBFBJ_06660	HJCBJE_04835	BDBJLG_08245	FMMFDJ_10420	GKNDCE_06995	FDHOFG_07220	CEFCCI_09145	KMLEIH_08095	NDPNHO_07790	OIKCCF_07595	EFBKIP_06470	CONBLF_08975	IAMNGM_08110	OCDEKD_02830	ABIDKG_08680	FIMDAF_09950	CNHFKG_11550	KGMBGA_05400	MLFLFD_04415	JAJJBD_02355	NOAGLL_00950	GHNCNC_03185	FPFKPL_01060
